iter	MultiClass
0	1.093576428
1	1.088660143
2	1.084283926
3	1.079468596
4	1.075168768
5	1.070700112
6	1.066184472
7	1.06214659
8	1.057737835
9	1.05388556
10	1.05005797
11	1.046346513
12	1.042508287
13	1.038470065
14	1.035133076
15	1.03174044
16	1.02832702
17	1.02499555
18	1.021900281
19	1.018850027
20	1.015445224
21	1.012405763
22	1.009400482
23	1.006031423
24	1.002771239
25	0.9995490542
26	0.9969702456
27	0.9938865977
28	0.9911449669
29	0.9880315819
30	0.9854520063
31	0.9824616621
32	0.9800746903
33	0.9770865795
34	0.9745547351
35	0.9717771027
36	0.9690334999
37	0.9666144252
38	0.9640869217
39	0.9615418874
40	0.9589707662
41	0.9568418765
42	0.9542064364
43	0.9517158473
44	0.9497336877
45	0.9477923856
46	0.945766282
47	0.9438525492
48	0.9416892877
49	0.9398010356
50	0.9378172495
51	0.9358006501
52	0.9337491263
53	0.9318785741
54	0.9299836697
55	0.9283501821
56	0.9264586524
57	0.9245463709
58	0.9226432565
59	0.9208401721
60	0.9188862709
61	0.9171357211
62	0.91533852
63	0.9137673356
64	0.9120512711
65	0.9103465079
66	0.9086095392
67	0.9069078785
68	0.9053333197
69	0.9038842924
70	0.9022728805
71	0.9009491992
72	0.8994890037
73	0.8979877488
74	0.8963451209
75	0.8948901451
76	0.8934816023
77	0.8919584224
78	0.8905204071
79	0.8891497106
80	0.8877443527
81	0.8865765764
82	0.8851915837
83	0.8839388132
84	0.8825726347
85	0.8814833427
86	0.8802160916
87	0.8788478188
88	0.8776004098
89	0.8765024755
90	0.8755762618
91	0.8744672902
92	0.8733869388
93	0.8722007658
94	0.8710271898
95	0.8697663893
96	0.8686807766
97	0.8674653707
98	0.8663990941
99	0.865351137
100	0.864358514
101	0.8632796501
102	0.862324537
103	0.8612341709
104	0.8602334722
105	0.8592689096
106	0.8584005208
107	0.8573852462
108	0.8562589788
109	0.8552945573
110	0.8542810592
111	0.8534268209
112	0.8525263054
113	0.8516125533
114	0.8506664454
115	0.8497299008
116	0.8487828718
117	0.8480077915
118	0.8470646197
119	0.8462329999
120	0.8455310143
121	0.8446409264
122	0.8438205986
123	0.8428644028
124	0.8419006281
125	0.8411334703
126	0.8404309563
127	0.8396541279
128	0.8388431092
129	0.8380253732
130	0.8372863547
131	0.836373519
132	0.8356453408
133	0.8349270105
134	0.8341452802
135	0.8334205006
136	0.832744741
137	0.8320624936
138	0.8313570422
139	0.830556614
140	0.8298811138
141	0.8292812879
142	0.8287291952
143	0.8280194962
144	0.8273698349
145	0.8266187401
146	0.8260134346
147	0.8253982394
148	0.8250600039
149	0.8244901782
150	0.8237471057
151	0.8231073861
152	0.8224987927
153	0.8218711735
154	0.8214151529
155	0.8207910806
156	0.8200358449
157	0.8193570199
158	0.8187835274
159	0.8183995316
160	0.8178101969
161	0.8174160662
162	0.816980807
163	0.8163065962
164	0.8156761445
165	0.8150585075
166	0.8144647387
167	0.8138953056
168	0.8134060581
169	0.8129269761
170	0.8125044062
171	0.8119621287
172	0.8113968203
173	0.8109561152
174	0.8103870121
175	0.8099090532
176	0.8095110055
177	0.8089855527
178	0.8084285791
179	0.8078299498
180	0.8072678519
181	0.8067286293
182	0.8061690367
183	0.8056046553
184	0.804957832
185	0.8045972788
186	0.8042319026
187	0.8038689357
188	0.8032824797
189	0.802826679
190	0.8024688982
191	0.8020683904
192	0.8015781535
193	0.801086703
194	0.8006884712
195	0.8003233112
196	0.79981962
197	0.79931319
198	0.7988096928
199	0.7985476064
200	0.7981135573
201	0.7975763287
202	0.7971511138
203	0.796703842
204	0.7963291345
205	0.7959107258
206	0.7954965999
207	0.7951500337
208	0.7948449876
209	0.7944942491
210	0.7940575645
211	0.7937619645
212	0.7933719803
213	0.792952303
214	0.7927266084
215	0.7924644896
216	0.7920482373
217	0.7915928678
218	0.7912454416
219	0.7909368484
220	0.7906126775
221	0.7902289842
222	0.7898752438
223	0.789490307
224	0.7891377161
225	0.7888275797
226	0.7884641752
227	0.7881288364
228	0.7876708466
229	0.7873457818
230	0.7869947238
231	0.7866771338
232	0.7863982861
233	0.785997365
234	0.7856719407
235	0.7853504584
236	0.7848362259
237	0.7844208946
238	0.7841480468
239	0.7838103765
240	0.7835199052
241	0.7832320915
242	0.7829725437
243	0.7826329022
244	0.7824395397
245	0.7819273632
246	0.781622527
247	0.7813159023
248	0.7809745295
249	0.7807291758
250	0.7804006885
251	0.7800666903
252	0.7797051146
253	0.779344779
254	0.7790356577
255	0.7787509613
256	0.7784232778
257	0.7780351792
258	0.7776922282
259	0.7773214313
260	0.7769629637
261	0.7767421401
262	0.7764212926
263	0.7762116653
264	0.7758956814
265	0.7755009893
266	0.7751054147
267	0.7747905534
268	0.7743932668
269	0.7741778413
270	0.7739420527
271	0.7735726366
272	0.773266156
273	0.772959966
274	0.7726814869
275	0.7724200478
276	0.7722005481
277	0.7720627028
278	0.7716945003
279	0.7714535367
280	0.771078391
281	0.7708307158
282	0.7704989885
283	0.770228259
284	0.7698126321
285	0.7695286498
286	0.7693002477
287	0.7691048628
288	0.7688930196
289	0.7686878013
290	0.7683862279
291	0.7680781599
292	0.7677518094
293	0.7675397379
294	0.7673793622
295	0.7670799117
296	0.7668711926
297	0.7665436404
298	0.7662009931
299	0.7659165995
300	0.7657125381
301	0.7653895987
302	0.7651673753
303	0.7648580045
304	0.7646753102
305	0.764456788
306	0.7642274075
307	0.7640433123
308	0.7637969462
309	0.7636506084
310	0.7634882839
311	0.7632232311
312	0.7630382271
313	0.7625668171
314	0.7623478834
315	0.7621087242
316	0.7618694189
317	0.7616758509
318	0.7613212824
319	0.761021213
320	0.760683918
321	0.7603865153
322	0.7599751312
323	0.7597430528
324	0.7595547195
325	0.7592976265
326	0.7591362051
327	0.7590230278
328	0.7588305164
329	0.7585392955
330	0.7580934331
331	0.7577200986
332	0.7574804963
333	0.7572393059
334	0.7570538161
335	0.7567828522
336	0.7564758252
337	0.7562233458
338	0.7559215143
339	0.7556657626
340	0.7553081294
341	0.7550185896
342	0.7547124257
343	0.7544827312
344	0.7542300517
345	0.7538992912
346	0.7537006108
347	0.7535239063
348	0.7532186821
349	0.7530849884
350	0.7527862876
351	0.7525043933
352	0.7522896108
353	0.7520595838
354	0.7517966061
355	0.7515067158
356	0.751186742
357	0.7510360733
358	0.7507927875
359	0.7506165088
360	0.7503904992
361	0.7502733166
362	0.7500105438
363	0.7497932583
364	0.7496193911
365	0.7492804982
366	0.7490710384
367	0.7489007879
368	0.7487347001
369	0.7484355975
370	0.7481899226
371	0.7479842564
372	0.7477354081
373	0.7476420759
374	0.7474297738
375	0.747191098
376	0.7468718109
377	0.7466940967
378	0.7464066613
379	0.7461162931
380	0.7459446036
381	0.7457774509
382	0.745653204
383	0.7454277916
384	0.7451965004
385	0.7449733101
386	0.7446493033
387	0.744516783
388	0.7443275585
389	0.7440890936
390	0.7439289036
391	0.7437276151
392	0.7434617631
393	0.7432898652
394	0.74309622
395	0.7429154511
396	0.7426498079
397	0.7424820682
398	0.7422208741
399	0.7420419894
400	0.741982885
401	0.7416678056
402	0.7413931072
403	0.7411396379
404	0.7408826751
405	0.740610172
406	0.7403969077
407	0.7401862026
408	0.740060921
409	0.7398921245
410	0.7396686143
411	0.7394723419
412	0.7392982008
413	0.7390972971
414	0.7390280277
415	0.7387630956
416	0.738614727
417	0.738335416
418	0.7380913731
419	0.7379313902
420	0.7377674951
421	0.737575902
422	0.7372065861
