iter	Passed	Remaining
0	2	8147
1	4	6872
2	6	6332
3	8	6079
4	10	6198
5	12	6052
6	14	6271
7	16	6263
8	19	6324
9	20	6259
10	22	6202
11	24	6120
12	26	6098
13	28	6052
14	30	6168
15	33	6160
16	34	6105
17	36	6072
18	38	6080
19	40	6034
20	42	6014
21	44	6045
22	46	6043
23	49	6080
24	51	6078
25	52	6058
26	54	6037
27	56	6015
28	58	6027
29	60	6024
30	62	6030
31	64	6007
32	66	6011
33	68	6002
34	71	6024
35	72	6006
36	74	5981
37	76	5973
38	78	5976
39	80	5965
40	82	5948
41	84	5928
42	86	5936
43	88	5926
44	90	5930
45	92	5921
46	94	5909
47	96	5905
48	97	5895
49	99	5887
50	101	5876
51	103	5860
52	105	5854
53	107	5866
54	109	5858
55	111	5846
56	112	5834
57	114	5822
58	116	5823
59	118	5814
60	120	5809
61	122	5811
62	124	5808
63	126	5801
64	128	5802
65	130	5791
66	132	5783
67	133	5772
68	135	5770
69	137	5763
70	139	5756
71	141	5753
72	143	5748
73	145	5749
74	147	5743
75	149	5738
76	151	5734
77	153	5735
78	154	5730
79	156	5722
80	158	5716
81	160	5710
82	162	5701
83	164	5699
84	166	5707
85	168	5709
86	170	5703
87	172	5699
88	174	5699
89	176	5696
90	178	5691
91	179	5687
92	181	5678
93	183	5680
94	185	5678
95	188	5687
96	189	5680
97	191	5674
98	193	5676
99	195	5671
100	197	5669
101	199	5675
102	201	5674
103	204	5690
104	206	5684
105	208	5684
106	210	5679
107	211	5674
108	214	5686
109	216	5684
110	218	5677
111	219	5672
112	222	5671
113	224	5687
114	226	5679
115	228	5671
116	229	5666
117	231	5661
118	233	5658
119	235	5654
120	237	5647
121	239	5648
122	241	5643
123	243	5642
124	245	5639
125	246	5633
126	249	5634
127	250	5631
128	252	5626
129	254	5623
130	256	5619
131	258	5620
132	260	5618
133	262	5622
134	264	5619
135	266	5620
136	268	5618
137	270	5613
138	272	5608
139	274	5608
140	276	5606
141	278	5602
142	280	5602
143	282	5599
144	284	5595
145	286	5591
146	288	5596
147	290	5601
148	292	5598
149	294	5594
150	296	5590
151	298	5588
152	300	5584
153	301	5579
154	304	5581
155	305	5576
156	307	5573
157	309	5570
158	311	5567
159	313	5563
160	315	5558
161	317	5553
162	319	5556
163	321	5554
164	323	5551
165	324	5548
166	326	5543
167	328	5540
